id1,id2,source_1,source_2,score,in_gold,in_human,in_ditto,decision_path
dbpedia_10113,metacritic_198,dbpedia,metacritic,1.0,True,False,True,gold
dbpedia_10140,metacritic_15513,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_10150,metacritic_3413,dbpedia,metacritic,1.0,True,False,True,gold
dbpedia_10177,metacritic_17921,dbpedia,metacritic,0.9831257463,False,True,True,agreement
dbpedia_10179,metacritic_432,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_10357,metacritic_9340,dbpedia,metacritic,1.0,True,False,True,gold
dbpedia_10562,metacritic_6046,dbpedia,metacritic,1.0,True,False,False,gold
dbpedia_10722,metacritic_99,dbpedia,metacritic,1.0,True,False,True,gold
dbpedia_1077,metacritic_294,dbpedia,metacritic,0.8622223735,False,False,True,plm_check_confident_pos
dbpedia_10846,metacritic_2654,dbpedia,metacritic,0.9194011688,False,True,True,agreement
dbpedia_10888,metacritic_4501,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_11034,metacritic_10230,dbpedia,metacritic,0.6849038601,False,False,True,plm_check_llm_yes
dbpedia_1145,metacritic_17558,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_11612,metacritic_14750,dbpedia,metacritic,0.9186808467,False,False,True,plm_check_confident_pos
dbpedia_11670,metacritic_8062,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_11908,metacritic_5860,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_123,metacritic_4737,dbpedia,metacritic,0.6392691135,False,True,True,agreement
dbpedia_12351,metacritic_14138,dbpedia,metacritic,1.0,True,False,False,gold
dbpedia_12351,metacritic_355,dbpedia,metacritic,0.6125026941,False,False,True,plm_check_llm_yes
dbpedia_1239,metacritic_17102,dbpedia,metacritic,1.0,True,False,False,gold
dbpedia_12411,metacritic_19333,dbpedia,metacritic,0.7095162868,False,True,True,agreement
dbpedia_12704,metacritic_20093,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_1284,metacritic_5379,dbpedia,metacritic,1.0,True,False,True,gold
dbpedia_12871,metacritic_12357,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_13013,metacritic_5301,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_13064,metacritic_2081,dbpedia,metacritic,1.0,True,False,True,gold
dbpedia_13204,metacritic_5553,dbpedia,metacritic,0.9664164782,False,True,True,agreement
dbpedia_13321,metacritic_17264,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_13389,metacritic_4515,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_13465,metacritic_9082,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_13751,metacritic_13220,dbpedia,metacritic,1.0,True,False,True,gold
dbpedia_13793,metacritic_17367,dbpedia,metacritic,0.8371189833,False,True,True,agreement
dbpedia_13823,metacritic_10092,dbpedia,metacritic,0.7803868651,False,False,True,plm_check_confident_pos
dbpedia_1387,metacritic_5368,dbpedia,metacritic,1.0,True,False,False,gold
dbpedia_13904,metacritic_1345,dbpedia,metacritic,0.6631348729,False,False,True,plm_check_llm_yes
dbpedia_14079,metacritic_18013,dbpedia,metacritic,0.794164598,False,False,True,plm_check_confident_pos
dbpedia_14178,metacritic_7317,dbpedia,metacritic,0.9189742208,False,False,True,plm_check_confident_pos
dbpedia_14364,metacritic_14859,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_14401,metacritic_13593,dbpedia,metacritic,1.0,True,False,False,gold
dbpedia_14604,metacritic_4825,dbpedia,metacritic,0.9470898509,False,True,True,agreement
dbpedia_14753,metacritic_18845,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_149,metacritic_12450,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_14968,metacritic_1268,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_1524,metacritic_2354,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_15350,metacritic_16040,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_15369,metacritic_615,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_15563,metacritic_11847,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_15622,metacritic_6312,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_15805,metacritic_6350,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_15858,metacritic_6862,dbpedia,metacritic,1.0,True,False,True,gold
dbpedia_15876,metacritic_14332,dbpedia,metacritic,1.0,True,False,False,gold
dbpedia_15895,metacritic_4639,dbpedia,metacritic,1.0,True,False,True,gold
dbpedia_15967,metacritic_9174,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_16008,metacritic_15863,dbpedia,metacritic,1.0,True,False,True,gold
dbpedia_16019,metacritic_9080,dbpedia,metacritic,1.0,True,False,False,gold
dbpedia_16284,metacritic_11407,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_16371,metacritic_2401,dbpedia,metacritic,1.0,True,False,False,gold
dbpedia_16460,metacritic_8239,dbpedia,metacritic,0.6415794492,False,False,True,plm_check_llm_yes
dbpedia_16482,metacritic_16941,dbpedia,metacritic,1.0,True,False,True,gold
dbpedia_16496,metacritic_4794,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_16596,metacritic_17918,dbpedia,metacritic,0.9773821235,False,True,True,agreement
dbpedia_16862,metacritic_11830,dbpedia,metacritic,0.9017011523,False,True,True,agreement
dbpedia_16923,metacritic_11197,dbpedia,metacritic,1.0,True,True,True,gold
dbpedia_1701,metacritic_2309,dbpedia,metacritic,0.992777586,False,True,True,agreement
dbpedia_17097,metacritic_6428,dbpedia,metacritic,1.0,True,True,True,gold
