entity_id,source,attribute,original_value,new_value,transform_fn,transform_params,knob,level
fullcontact_100|http://www.forbes.com/companies/westpac-banking/,,hard_negative_gate,,keep_adjudicated,hard_negative_gate,"{""plm_score"": 0.0003634689492, ""theta"": 0.5, ""delta"": 0.08, ""llm_says_match"": false}",2,easy
fullcontact_118|http://www.forbes.com/companies/halkbank/,,hard_negative_gate,,keep_adjudicated,hard_negative_gate,"{""plm_score"": 0.001729489304, ""theta"": 0.5, ""delta"": 0.08, ""llm_says_match"": false}",2,easy
fullcontact_1191|http://www.forbes.com/companies/pvh/,,hard_negative_gate,,keep_adjudicated,hard_negative_gate,"{""plm_score"": 0.04883866385, ""theta"": 0.5, ""delta"": 0.08, ""llm_says_match"": false}",2,easy
fullcontact_1235|http://www.forbes.com/companies/morgan-stanley/,,hard_negative_gate,,keep_adjudicated,hard_negative_gate,"{""plm_score"": 0.01286513545, ""theta"": 0.5, ""delta"": 0.08, ""llm_says_match"": false}",2,easy
fullcontact_1608|http://www.forbes.com/companies/onex/,,hard_negative_gate,,keep_adjudicated,hard_negative_gate,"{""plm_score"": 0.0003215677862, ""theta"": 0.5, ""delta"": 0.08, ""llm_says_match"": false}",2,easy
fullcontact_1711|http://www.forbes.com/companies/manila-electric/,,hard_negative_gate,,keep_adjudicated,hard_negative_gate,"{""plm_score"": 0.002261830494, ""theta"": 0.5, ""delta"": 0.08, ""llm_says_match"": false}",2,easy
fullcontact_184|http://www.forbes.com/companies/banco-bpi/,,hard_negative_gate,,keep_adjudicated,hard_negative_gate,"{""plm_score"": 0.0005584948813, ""theta"": 0.5, ""delta"": 0.08, ""llm_says_match"": false}",2,easy
fullcontact_1881|http://www.forbes.com/companies/noble/,,hard_negative_gate,,keep_adjudicated,hard_negative_gate,"{""plm_score"": 0.9914873838, ""theta"": 0.5, ""delta"": 0.08, ""llm_says_match"": false}",2,easy
fullcontact_192|http://www.forbes.com/companies/edwards-lifesciences/,,hard_negative_gate,,keep_adjudicated,hard_negative_gate,"{""plm_score"": 0.007055208553, ""theta"": 0.5, ""delta"": 0.08, ""llm_says_match"": false}",2,easy
fullcontact_195|http://www.forbes.com/companies/hilton-worldwide/,,hard_negative_gate,,keep_adjudicated,hard_negative_gate,"{""plm_score"": 0.00160243141, ""theta"": 0.5, ""delta"": 0.08, ""llm_says_match"": false}",2,easy
fullcontact_197|http://www.forbes.com/companies/precision-castparts/,,hard_negative_gate,,keep_adjudicated,hard_negative_gate,"{""plm_score"": 0.002712438116, ""theta"": 0.5, ""delta"": 0.08, ""llm_says_match"": false}",2,easy
fullcontact_197|http://www.forbes.com/companies/ww-grainger/,,hard_negative_gate,,keep_adjudicated,hard_negative_gate,"{""plm_score"": 0.01310732961, ""theta"": 0.5, ""delta"": 0.08, ""llm_says_match"": false}",2,easy
