silver_cluster_id,pipe_cluster_id,name,founded,country,city,assets,revenue,n_attributes_correct,fully_correct
http://www.forbes.com/companies/bbmg/,fullcontact_1,True,False,True,True,False,False,3,False
http://www.forbes.com/companies/avago-technologies/,fullcontact_122,True,False,True,True,True,False,4,False
http://www.forbes.com/companies/standard-chartered/,fullcontact_1297,True,False,False,False,False,False,1,False
http://www.forbes.com/companies/b-e-aerospace/,fullcontact_144,True,False,False,True,True,False,3,False
http://www.forbes.com/companies/nordstrom/,fullcontact_1446,True,False,False,False,False,False,1,False
http://www.forbes.com/companies/teva-pharmaceutical/,fullcontact_1495,False,False,True,True,False,False,2,False
http://www.forbes.com/companies/bouygues/,fullcontact_165,True,False,True,False,False,False,2,False
http://www.forbes.com/companies/brookfield-asset-management/,fullcontact_172,True,False,True,False,False,False,2,False
http://www.forbes.com/companies/noble-energy/,fullcontact_1881,True,False,False,False,False,False,1,False
http://www.forbes.com/companies/carnival/,fullcontact_195,True,False,True,False,True,False,3,False
http://www.forbes.com/companies/jyske-bank/,fullcontact_22,True,False,False,False,False,False,1,False
http://www.forbes.com/companies/eaton/,fullcontact_277,True,False,False,False,False,False,1,False
http://www.forbes.com/companies/edf/,fullcontact_281,False,False,True,True,False,False,2,False
http://www.forbes.com/companies/eletrobras/,http://dbpedia.org/resource/Eletrobras,True,False,True,False,False,False,2,False
http://www.forbes.com/companies/g4s/,fullcontact_336,True,False,True,True,False,False,3,False
http://www.forbes.com/companies/hikvision/,fullcontact_379,True,False,False,False,False,False,1,False
http://www.forbes.com/companies/hitachi/,fullcontact_382,True,False,True,False,True,False,3,False
http://www.forbes.com/companies/hewlett-packard/,fullcontact_389,True,False,False,True,True,False,3,False
http://www.forbes.com/companies/hyundai-steel/,fullcontact_405,True,False,False,False,False,False,1,False
http://www.forbes.com/companies/infosys/,fullcontact_418,True,False,True,True,False,False,3,False
http://www.forbes.com/companies/kasikornbank/,fullcontact_449,True,False,True,True,False,False,3,False
http://www.forbes.com/companies/microsoft/,fullcontact_512,True,False,False,False,False,False,1,False
http://www.forbes.com/companies/mitsubishi-corp/,fullcontact_513,True,False,True,False,False,False,2,False
http://www.forbes.com/companies/mondi/,fullcontact_517,False,False,True,False,False,False,1,False
http://www.forbes.com/companies/acer/,fullcontact_52,True,False,False,False,False,False,1,False
http://www.forbes.com/companies/neste-oil/,fullcontact_533,True,False,True,True,False,False,3,False
http://www.forbes.com/companies/nokia/,fullcontact_545,True,False,True,False,False,False,2,False
http://www.forbes.com/companies/tcl-corp/,fullcontact_55,False,False,False,False,False,False,0,False
http://www.forbes.com/companies/pge/,fullcontact_587,True,False,False,False,False,False,1,False
http://www.forbes.com/companies/prada/,fullcontact_598,True,False,False,True,False,False,2,False
http://www.forbes.com/companies/banco-santander/,fullcontact_646,True,False,True,False,False,False,2,False
http://www.forbes.com/companies/sherwin-williams/,fullcontact_663,,False,False,True,False,False,1,False
http://www.forbes.com/companies/siemens/,fullcontact_670,True,False,False,False,False,False,1,False
http://www.forbes.com/companies/sistema/,fullcontact_678,True,False,False,True,True,False,3,False
http://www.forbes.com/companies/smith-nephew/,fullcontact_684,False,False,True,False,False,False,1,False
http://www.forbes.com/companies/societe-generale/,fullcontact_686,False,False,True,True,False,False,2,False
http://www.forbes.com/companies/ppg-industries/,fullcontact_7,True,False,False,True,True,True,4,False
http://www.forbes.com/companies/swatch-group/,fullcontact_709,,False,True,False,True,False,2,False
http://www.forbes.com/companies/tokyo-electron/,http://dbpedia.org/resource/Tokyo_Electron,True,False,True,True,False,False,3,False
http://www.forbes.com/companies/telus/,fullcontact_731,True,False,True,True,False,False,3,False
http://www.forbes.com/companies/ternium/,fullcontact_736,True,False,True,False,False,False,2,False
http://www.forbes.com/companies/actavis/,fullcontact_75,False,False,True,True,False,False,2,False
http://www.forbes.com/companies/turkcell/,fullcontact_759,True,False,True,True,False,False,3,False
http://www.forbes.com/companies/unibail-rodamco/,fullcontact_769,True,False,True,True,False,False,3,False
http://www.forbes.com/companies/upm-kymmene/,fullcontact_778,False,False,True,True,False,False,2,False
http://www.forbes.com/companies/vakifbank/,fullcontact_782,True,False,True,True,False,False,3,False
http://www.forbes.com/companies/vale/,fullcontact_783,True,False,True,True,True,False,4,False
http://www.forbes.com/companies/health-care-reit/,fullcontact_787,False,False,True,True,False,False,2,False
http://www.forbes.com/companies/vestas-wind-systems/,fullcontact_793,False,False,True,True,False,False,2,False
http://www.forbes.com/companies/alpha-bank/,fullcontact_80,True,False,True,False,False,False,2,False
http://www.forbes.com/companies/wells-fargo/,fullcontact_812,,False,False,True,True,False,2,False
http://www.forbes.com/companies/anglo-american/,fullcontact_97,True,False,False,True,False,False,2,False
