id1,id2,label
crossref-10244,dblp-03797,FALSE
crossref-38877,dblp-60537,FALSE
crossref-41440,dblp-08620,FALSE
crossref-43913,dblp-34279,FALSE
crossref-58441,dblp-34279,FALSE
crossref-33857,dblp-38787,FALSE
crossref-01229,dblp-10632,TRUE
crossref-37657,dblp-42284,FALSE
crossref-02792,dblp-60445,TRUE
crossref-14896,dblp-03934,TRUE
crossref-44128,dblp-30764,TRUE
crossref-13161,dblp-09314,TRUE
crossref-01067,dblp-08382,FALSE
crossref-26981,dblp-02909,TRUE
crossref-28964,dblp-30764,FALSE
crossref-00113,dblp-14957,TRUE
crossref-43180,dblp-09442,FALSE
crossref-41263,dblp-09442,FALSE
crossref-42264,dblp-08620,TRUE
crossref-20092,dblp-07035,TRUE
crossref-57680,dblp-12568,FALSE
crossref-07601,dblp-30764,FALSE
crossref-00295,dblp-10797,TRUE
crossref-47756,dblp-34194,FALSE
crossref-00771,dblp-06914,FALSE
crossref-11622,dblp-42284,TRUE
crossref-54441,dblp-34194,FALSE
crossref-14667,dblp-10704,FALSE
crossref-27180,dblp-03050,TRUE
crossref-31744,dblp-08620,FALSE
crossref-38383,dblp-06914,TRUE
crossref-00321,dblp-14957,FALSE
crossref-03429,dblp-14996,FALSE
crossref-51257,dblp-08698,TRUE
crossref-39370,dblp-34366,FALSE
crossref-20582,dblp-60516,TRUE
crossref-26091,dblp-60445,FALSE
crossref-03061,dblp-60445,FALSE
crossref-35038,dblp-03934,FALSE
crossref-32185,dblp-03797,TRUE
crossref-31094,dblp-60516,FALSE
crossref-02556,dblp-03934,FALSE
crossref-27631,dblp-12568,TRUE
crossref-41811,dblp-10704,FALSE
crossref-53101,dblp-04042,TRUE
crossref-33480,dblp-34366,TRUE
crossref-60080,dblp-42284,FALSE
crossref-53089,dblp-05056,TRUE
crossref-00595,dblp-03050,FALSE
crossref-41709,dblp-08382,TRUE
crossref-11911,dblp-03781,TRUE
crossref-39956,dblp-34279,TRUE
crossref-41613,dblp-14996,TRUE
crossref-50645,dblp-38787,FALSE
crossref-31232,dblp-02167,TRUE
crossref-52202,dblp-09442,FALSE
crossref-27507,dblp-60537,TRUE
crossref-02315,dblp-60445,FALSE
crossref-57220,dblp-03934,FALSE
crossref-22253,dblp-30764,FALSE
crossref-49521,dblp-12568,FALSE
crossref-35362,dblp-42192,FALSE
crossref-27392,dblp-60537,FALSE
crossref-47826,dblp-34279,FALSE
crossref-23903,dblp-60516,FALSE
crossref-23845,dblp-06914,FALSE
crossref-00385,dblp-14957,FALSE
crossref-54498,dblp-06914,FALSE
crossref-48299,dblp-03050,FALSE
crossref-07851,dblp-42192,FALSE
crossref-16671,dblp-42284,FALSE
crossref-18879,dblp-34194,FALSE
crossref-31233,dblp-02167,FALSE
crossref-21929,dblp-14957,FALSE
crossref-51680,dblp-42192,FALSE
crossref-17995,dblp-12568,FALSE
crossref-45624,dblp-08382,FALSE
crossref-01294,dblp-14876,TRUE
crossref-00442,dblp-10704,FALSE
crossref-17804,dblp-02167,FALSE
crossref-57653,dblp-03050,FALSE
crossref-47766,dblp-03797,FALSE
crossref-09906,dblp-38787,FALSE
crossref-07683,dblp-13086,TRUE
crossref-53773,dblp-38787,TRUE
crossref-36331,dblp-60537,FALSE
crossref-37693,dblp-42192,TRUE
crossref-57162,dblp-34194,TRUE
crossref-40492,dblp-31147,TRUE
crossref-46416,dblp-14996,FALSE
crossref-46229,dblp-34366,FALSE
