entity_id,source,attribute,original_value,reason,knob,level
products_1_25469647,products_1,capacity_gb,128.0 GB,cell_collision_with_prior_knob,6,hard
products_1_25436518,products_1,capacity_gb,465.66 GiB,cell_collision_with_prior_knob,6,hard
products_1_18538085,products_1,capacity_gb,419.10 GiB,cell_collision_with_prior_knob,6,hard
products_1_35033699,products_1,capacity_gb,3725.29 GiB,cell_collision_with_prior_knob,6,hard
products_1_58034111,products_1,capacity_gb,300.0 GB,cell_collision_with_prior_knob,6,hard
products_1_14715948,products_1,capacity_gb,6000000 MB,cell_collision_with_prior_knob,6,hard
products_1_24483122,products_1,capacity_gb,1920000 MB,cell_collision_with_prior_knob,6,hard
products_1_17943,products_1,capacity_gb,"8,000.0 GB",cell_collision_with_prior_knob,6,hard
products_1_50232345,products_1,capacity_gb,"2,000.0 GB",cell_collision_with_prior_knob,6,hard
products_1_96835518,products_1,capacity_gb,3725.29 GiB,cell_collision_with_prior_knob,6,hard
products_1_9291809,products_1,capacity_gb,7450.58 GiB,cell_collision_with_prior_knob,6,hard
products_1_1367517,products_1,capacity_gb,931.32,cell_collision_with_prior_knob,6,hard
products_1_66193081,products_1,capacity_gb,2793.97,cell_collision_with_prior_knob,6,hard
products_1_1829549,products_1,capacity_gb,300.0 GB,cell_collision_with_prior_knob,6,hard
products_1_30690945,products_1,capacity_gb,1862.65 GiB,cell_collision_with_prior_knob,6,hard
products_1_1546263,products_1,capacity_gb,"2,000.0 GB",cell_collision_with_prior_knob,6,hard
products_1_16849538,products_1,capacity_gb,64.0 GB,cell_collision_with_prior_knob,6,hard
products_1_23748436,products_1,capacity_gb,1862.65 GiB,cell_collision_with_prior_knob,6,hard
products_1_52402204,products_1,capacity_gb,480000 MB,cell_collision_with_prior_knob,6,hard
products_1_13413666,products_1,capacity_gb,"3,840.0 GB",cell_collision_with_prior_knob,6,hard
products_1_4908909,products_1,capacity_gb,1862.65 GiB,cell_collision_with_prior_knob,6,hard
products_1_38472622,products_1,capacity_gb,1000000 MB,cell_collision_with_prior_knob,6,hard
products_1_936587,products_1,capacity_gb,12000.0,numeric_jitter_exhausted_retries,6,hard
products_1_35800770,products_1,capacity_gb,1000000 MB,cell_collision_with_prior_knob,6,hard
products_1_22671509,products_1,capacity_gb,2000.0,cell_collision_with_prior_knob,6,hard
products_1_5393373,products_1,capacity_gb,250.0,numeric_jitter_exhausted_retries,6,hard
products_1_81243770,products_1,capacity_gb,500.0,cell_collision_with_prior_knob,6,hard
products_1_37364581,products_1,capacity_gb,13038.52 GiB,cell_collision_with_prior_knob,6,hard
products_1_15347603,products_1,capacity_gb,12000000 MB,cell_collision_with_prior_knob,6,hard
products_1_34946634,products_1,capacity_gb,"4,000.0 GB",cell_collision_with_prior_knob,6,hard
products_1_4586576,products_1,capacity_gb,600.0,cell_collision_with_prior_knob,6,hard
products_1_16588524,products_1,capacity_gb,16.0,cell_collision_with_prior_knob,6,hard
products_1_26113997,products_1,capacity_gb,2000.0,cell_collision_with_prior_knob,6,hard
products_1_33809693,products_1,capacity_gb,"2,000.0 GB",cell_collision_with_prior_knob,6,hard
products_1_68818577,products_1,capacity_gb,1000.0,cell_collision_with_prior_knob,6,hard
products_1_63493764,products_1,capacity_gb,"5,587.94 GiB",cell_collision_with_prior_knob,6,hard
products_1_43796253,products_1,capacity_gb,3000.0,cell_collision_with_prior_knob,6,hard
products_1_65406066,products_1,capacity_gb,400.0,cell_collision_with_prior_knob,6,hard
products_1_45666976,products_1,capacity_gb,465.66 GiB,cell_collision_with_prior_knob,6,hard
products_1_13044456,products_1,capacity_gb,512.0,numeric_jitter_exhausted_retries,6,hard
products_1_82710940,products_1,capacity_gb,"256,000 MB",cell_collision_with_prior_knob,6,hard
products_1_66270550,products_1,capacity_gb,960.0 GB,cell_collision_with_prior_knob,6,hard
products_1_74156633,products_1,capacity_gb,500.0,cell_collision_with_prior_knob,6,hard
products_1_7610550,products_1,capacity_gb,2000000 MB,cell_collision_with_prior_knob,6,hard
products_1_32646229,products_1,capacity_gb,2000.0,cell_collision_with_prior_knob,6,hard
products_1_72803086,products_1,capacity_gb,4000.0,numeric_jitter_exhausted_retries,6,hard
products_1_1213105,products_1,capacity_gb,16.0 GB,cell_collision_with_prior_knob,6,hard
products_1_46066406,products_1,capacity_gb,"1,000,000 MB",cell_collision_with_prior_knob,6,hard
products_1_25096878,products_1,capacity_gb,1000000 MB,cell_collision_with_prior_knob,6,hard
k04__within_dup__products_1__products_1_11746366,products_1,capacity_gb,"1,117.59 GiB",cell_collision_with_prior_knob,6,hard
products_1_10070749,products_1,category,Graphics Processing Unit,cell_collision_with_prior_knob,6,hard
products_1_94807470,products_1,currency_code,CAD,operator_taxonomy_walk_no_effect,6,hard
products_1_92045823,products_1,currency_code,AED,operator_ocr_confuse_no_effect,6,hard
products_1_23466284,products_1,currency_code,ZAR,operator_ocr_confuse_no_effect,6,hard
products_1_4586576,products_1,interface,SAS,closeness_floor_exhausted_retries,6,hard
products_1_87572356,products_1,interface,SAS,closeness_floor_exhausted_retries,6,hard
products_1_29807017,products_1,length_millimeters,268.0,numeric_jitter_exhausted_retries,6,hard
products_1_25469647,products_1,list_price,1321.6,cell_collision_with_prior_knob,6,hard
products_1_25436518,products_1,list_price,119.99,numeric_jitter_exhausted_retries,6,hard
products_1_9683052,products_1,list_price,184.99,numeric_jitter_exhausted_retries,6,hard
products_1_4045405,products_1,list_price,"1 375,92",cell_collision_with_prior_knob,6,hard
products_1_50064518,products_1,list_price,99999.99,cell_collision_with_prior_knob,6,hard
products_1_18538085,products_1,list_price,209.99,cell_collision_with_prior_knob,6,hard
products_1_41310675,products_1,list_price,116.33,cell_collision_with_prior_knob,6,hard
products_1_25687193,products_1,list_price,79.99,cell_collision_with_prior_knob,6,hard
products_1_79023169,products_1,list_price,274.45,cell_collision_with_prior_knob,6,hard
products_1_79243485,products_1,list_price,419.54,cell_collision_with_prior_knob,6,hard
