id1,id2,source_1,source_2,score,in_gold,in_human,in_ditto,decision_path
dbpedia_10,metacritic_8410,dbpedia,metacritic,0.8649911284446716,False,False,True,plm_check_llm_yes
dbpedia_10005,metacritic_7781,dbpedia,metacritic,0.6581048965454102,False,False,True,plm_check_llm_yes
dbpedia_10011,metacritic_19888,dbpedia,metacritic,0.9137650728225708,False,True,True,agreement
dbpedia_10013,metacritic_18045,dbpedia,metacritic,0.8029402494430542,False,False,True,plm_check_llm_yes
dbpedia_10025,metacritic_9607,dbpedia,metacritic,0.9834116101264954,False,True,True,agreement
dbpedia_10034,metacritic_5055,dbpedia,metacritic,0.8137587904930115,False,True,True,agreement
dbpedia_10038,metacritic_1852,dbpedia,metacritic,0.7939894199371338,False,False,True,plm_check_llm_yes
dbpedia_10039,metacritic_13943,dbpedia,metacritic,0.8886334896087646,False,False,True,plm_check_llm_yes
dbpedia_10055,metacritic_14773,dbpedia,metacritic,0.9701246619224548,False,True,True,agreement
dbpedia_10056,metacritic_12550,dbpedia,metacritic,0.9042185544967651,False,False,True,plm_check_llm_yes
dbpedia_10057,metacritic_5964,dbpedia,metacritic,0.9358258247375488,False,True,True,agreement
dbpedia_10068,metacritic_473,dbpedia,metacritic,0.8307352662086487,False,False,True,plm_check_llm_yes
dbpedia_1007,metacritic_12509,dbpedia,metacritic,0.7414961457252502,False,True,True,agreement
dbpedia_10078,metacritic_17368,dbpedia,metacritic,0.9353324770927429,False,False,True,plm_check_llm_yes
dbpedia_10083,metacritic_2135,dbpedia,metacritic,0.7612553834915161,False,True,True,agreement
dbpedia_10084,metacritic_5816,dbpedia,metacritic,0.8769882321357727,False,True,True,agreement
dbpedia_10085,metacritic_10445,dbpedia,metacritic,0.966662585735321,False,True,True,agreement
dbpedia_10091,metacritic_20057,dbpedia,metacritic,0.9637465476989746,False,False,True,plm_check_llm_yes
dbpedia_10095,metacritic_9137,dbpedia,metacritic,0.9077520966529846,False,False,True,plm_check_llm_yes
dbpedia_10097,metacritic_11735,dbpedia,metacritic,0.9158667922019958,False,False,True,plm_check_llm_yes
dbpedia_1010,metacritic_16081,dbpedia,metacritic,0.7957698106765747,False,True,True,agreement
dbpedia_10106,metacritic_11420,dbpedia,metacritic,0.9236844778060913,False,False,True,plm_check_llm_yes
dbpedia_10110,metacritic_791,dbpedia,metacritic,0.7720289826393127,False,True,True,agreement
