id1,id2,label
k02_noncorner_papers_00450__open_alex,k02_noncorner_papers_00235__dblp,FALSE
k02_noncorner_papers_00744__open_alex,k02_noncorner_papers_00093__dblp,FALSE
k02_noncorner_papers_00079__open_alex,k02_noncorner_papers_00707__dblp,FALSE
open_alex-10186,k02_noncorner_papers_00593__dblp,FALSE
k02_noncorner_papers_00466__open_alex,k02_noncorner_papers_00593__dblp,FALSE
open_alex-06590,k02_noncorner_papers_00286__dblp,FALSE
k02_noncorner_papers_00303__open_alex,k02_noncorner_papers_00303__dblp,TRUE
k02_noncorner_papers_00182__open_alex,k02_noncorner_papers_00435__dblp,FALSE
k02_noncorner_papers_00248__open_alex,k02_noncorner_papers_00248__dblp,TRUE
k02_noncorner_papers_00565__open_alex,k02_noncorner_papers_00565__dblp,TRUE
k02_noncorner_papers_00808__open_alex,k02_noncorner_papers_00808__dblp,TRUE
k02_noncorner_papers_00647__open_alex,k02_noncorner_papers_00647__dblp,TRUE
k02_noncorner_papers_00618__open_alex,k02_noncorner_papers_00776__dblp,FALSE
k02_noncorner_papers_00587__open_alex,k02_noncorner_papers_00587__dblp,TRUE
open_alex-41218,k02_noncorner_papers_00808__dblp,FALSE
k02_noncorner_papers_00764__open_alex,k02_noncorner_papers_00764__dblp,TRUE
k02_noncorner_papers_00670__open_alex,k02_noncorner_papers_00640__dblp,FALSE
k02_noncorner_papers_00733__open_alex,k02_noncorner_papers_00640__dblp,FALSE
k02_noncorner_papers_00707__open_alex,k02_noncorner_papers_00707__dblp,TRUE
k02_noncorner_papers_00450__open_alex,k02_noncorner_papers_00450__dblp,TRUE
k02_noncorner_papers_00193__open_alex,k02_noncorner_papers_00455__dblp,FALSE
k02_noncorner_papers_00458__open_alex,k02_noncorner_papers_00808__dblp,FALSE
k02_noncorner_papers_00484__open_alex,k02_noncorner_papers_00484__dblp,TRUE
open_alex-52186,k02_noncorner_papers_00079__dblp,FALSE
open_alex-09985,k02_noncorner_papers_00321__dblp,FALSE
k02_noncorner_papers_00435__open_alex,k02_noncorner_papers_00435__dblp,TRUE
k02_noncorner_papers_00378__open_alex,k02_noncorner_papers_00079__dblp,FALSE
open_alex-18549,k02_noncorner_papers_00027__dblp,FALSE
k02_noncorner_papers_00585__open_alex,k02_noncorner_papers_00585__dblp,TRUE
open_alex-47713,k02_noncorner_papers_00707__dblp,FALSE
k02_noncorner_papers_00321__open_alex,k02_noncorner_papers_00321__dblp,TRUE
k02_noncorner_papers_00577__open_alex,k02_noncorner_papers_00764__dblp,FALSE
k02_noncorner_papers_00363__open_alex,k02_noncorner_papers_00803__dblp,FALSE
k02_noncorner_papers_00779__open_alex,k02_noncorner_papers_00779__dblp,TRUE
open_alex-02717,k02_noncorner_papers_00074__dblp,FALSE
k02_noncorner_papers_00314__open_alex,k02_noncorner_papers_00314__dblp,TRUE
open_alex-24549,k02_noncorner_papers_00248__dblp,FALSE
k02_noncorner_papers_00064__open_alex,k02_noncorner_papers_00248__dblp,FALSE
k02_noncorner_papers_00192__open_alex,k02_noncorner_papers_00565__dblp,FALSE
k02_noncorner_papers_00235__open_alex,k02_noncorner_papers_00235__dblp,TRUE
k02_noncorner_papers_00612__open_alex,k02_noncorner_papers_00314__dblp,FALSE
k02_noncorner_papers_00587__open_alex,k02_noncorner_papers_00565__dblp,FALSE
k02_noncorner_papers_00455__open_alex,k02_noncorner_papers_00455__dblp,TRUE
