entity_id,source,attribute,original_value,reason,knob,level
crossref-00036,crossref,authors,"[Víctor San Juan, Matilde Santos, José Manuel Andújar]",cell_collision_with_prior_knob,6,hard
crossref-00047,crossref,authors,"['Changhan Cho', ' Kyunghyun Wang', ' Douwe Kiela']",cell_collision_with_prior_knob,6,hard
crossref-00118,crossref,authors,Molly Ireland and Micah Iserman,cell_collision_with_prior_knob,6,hard
crossref-00195,crossref,authors,"[Genta Indra Winata, Chien-Sheng Wu, Andrea Madotto, Pascale Fung]",cell_collision_with_prior_knob,6,hard
crossref-00369,crossref,authors,"Vu', ' Vered Shwartz']",cell_collision_with_prior_knob,6,hard
crossref-00381,crossref,authors,"['Wei Liang', ' Jing Long', ' Zuo Chen', ' Xiaolong Yan', ' ' Li', Yanbiao Qingyong Zhang', ' Kuan-Ching Li']",cell_collision_with_prior_knob,6,hard
crossref-00386,crossref,authors,"Devamanyu Hazarika, Soujanya Poria, Prateek Vij, Gangeshwar Krishnamurthy, Erik Cambria, and Roger Zimmermann",cell_collision_with_prior_knob,6,hard
crossref-00417,crossref,authors,"['Anastasia Moumtzidou', ' Stelios ' Ilias Gialampoukidis', ' Anastasios Karakostas', ' Stefanos Vrochidis', ' Ioannis Kompatsiaris']",cell_collision_with_prior_knob,6,hard
crossref-00596,crossref,authors,"Ge Peng, Jeffrey L. Privette, Curt Tilmes, Sky Bristol, Tom Maycock, John J. Bates, Scott Hausman, Otis Brown, and Edward J. Kearns",cell_collision_with_prior_knob,6,hard
crossref-00706,crossref,authors,Dirk Hovy and Tommaso Fornaciari,cell_collision_with_prior_knob,6,hard
crossref-00750,crossref,authors,"['Yildiz Technical Univ.', ' 34349 Istanbul', ' Turkey', ' Emirhan Sağ', ' Aktül Kavas']",cell_collision_with_prior_knob,6,hard
crossref-00777,crossref,authors,"['Shib Sankar Partha ' Swayambhu Nath Ray', ' Dasgupta', Talukdar']",cell_collision_with_prior_knob,6,hard
crossref-00820,crossref,authors,"Jean-Christophe Plantin, Carl Lagoze, and Paul N. Edwards",cell_collision_with_prior_knob,6,hard
crossref-00845,crossref,authors,"['Department of Aditi Engineering', ' Howard College', ' University of KwaZulu-Natal', ' Durban - 4041', ' South Africa', ' Dhawan Singh', ' Electronic Thakur', ' Viranjay M. Srivastava']",cell_collision_with_prior_knob,6,hard
crossref-00857,crossref,authors,"Huiming Duan, Guang Rong Lei, and Kailiang Shao",cell_collision_with_prior_knob,6,hard
crossref-00909,crossref,authors,"Jingyuan Sun, Shaonan Wang, and Chengqing Zong",cell_collision_with_prior_knob,6,hard
crossref-00937,crossref,authors,"[Bin Wu, Chenyan Xiong, Maosong Sun, Zhiyuan Liu]",cell_collision_with_prior_knob,6,hard
crossref-01074,crossref,authors,"[Yan Chen, Xinyu Liu, Shan Li, Hong Wan]",cell_collision_with_prior_knob,6,hard
crossref-01105,crossref,authors,"['Yu-Siang Huang', Yi-Hsuan Szu-Yu Chou', ' ' Yang']",cell_collision_with_prior_knob,6,hard
crossref-01121,crossref,authors,"Deepanway Ghosal, Md Shad Akhtar, Dushyant Chauhan, Soujanya Poria, Asif Ekbal, Pushpak Bhattacharyya",cell_collision_with_prior_knob,6,hard
crossref-01149,crossref,authors,<TED GIES>,cell_collision_with_prior_knob,6,hard
